CONTEXT,ZSG
02-04-081,Z01
02-04-085,Z03
02-04-092,NA
02-04-096,Z03Z04
02-04-098,Z03Z04
02-04-099,Z05
02-04-100,Z03
02-04-101,NA
02-04-104,Z05
02-04-107,Z04
02-04-108,Z05
02-04-109,Z05
02-04-111,Z03Z04
02-04-113,Z05
02-04-115,Z05
02-04-116,Z05
02-04-118,Z06
02-04-120,Z05
02-04-121,Z05
02-04-126,Z06
02-04-127,Z06A
02-04-131,Z06
02-04-137,NA
02-05-110,Z01
02-05-112,Z03Z04
02-05-112a,NA
02-05-114,Z05
02-05-117,NA
02-05-119,Z03Z04
02-05-122,Z06
02-05-123,Z06
02-05-125,NA
02-05-130,Z06
02-05-138,Z06
02-06-129,Z01
02-06-132,Z03
02-06-136,Z03
02-06-139,NA
02-06-140,Z05
02-06-143,Z03
02-06-145,NA
02-06-147,Z03Z04
02-06-149,Z03Z04
02-06-151,Z05
02-06-152,Z05
02-06-154,Z05
02-06-157,Z06
02-06-158,Z05
02-06-160,Z06
02-06-162,NA
02-06-165,Z06
02-06-166,Z06
02-06-167,Z06
02-06-170,NA
02-07-141,Z01
02-07-142,Z01
02-07-144,Z01
02-07-146,Z01
02-07-148,Z05A
02-07-150,Z05A
02-07-153,Z05
02-07-155,Z05A
02-07-156,Z05A
02-07-163,Z06
02-07-164,NA
02-07-168,Z06
02-07-169,Z06
02-07-171,Z06
02-07-172,NA
02-07-173,Z06
02-07-176,Z06
02-07-177,Z06
02-07-179,Z06
02-07-180,Z06
02-07-181,NA
02-07-183,Z06
03-SF,NA
03-Trench,NA
91-01-001,Z01
91-01-002,Z01
91-01-003,Z02
91-01-004,Z03
91-01-005,Z04
91-01-006,Z05
91-01-007,Z06
91-01-008,Z07
91-01-009,Z08
91-01-010,NA
91-02-011,Z01
91-02-012,Z02
91-02-013,Z03
91-02-014,Z04
91-03-015,Z01
91-03-016,NA
91-03-017a,Z01
91-03-017b,Z01
91-03-018,Z02
91-03-019,Z02
91-03-020,NA
91-03-021,NA
91-03-022,NA
91-03-023,NA
91-03-024,NA
91-03-025,NA
92-SF,NA
93-SF,NA
A00 |  | ,NA
A00 | 02 | ,NA
A00 | 03 | ,NA
A00 | 04 | ,NA
A00 | 05 | ,NA
A00 | 06 | ,NA
A00 | 07 | ,NA
A00 | 08 | ,NA
A00 | UNPROV | ,NA
A01 | 01 | ,NA
A01 | 02 | ,NA
A01 | 03 | ,NA
A01 | 03A | ,NA
A01 | 04 | ,NA
A01 | 05 | ,NA
A01 | 06 | ,NA
A01 | 07 | ,NA
A01 | 08 | ,NA
A02 | 01 | ,NA
A02 | 02 | ,NA
A02 | 03A | ,NA
A02 | 03B | ,NA
A02 | 04 | ,NA
A02 | 05 | ,NA
A02 | 06 | ,NA
A02 | 07 | ,NA
A02 | 09 | ,NA
A03 |  | ,NA
A03 | 01 | ,NA
A03 | 02 | ,NA
A03 | 03A | ,NA
A03 | 03B | ,NA
A03 | 04 | ,NA
A03 | 05 | ,NA
A03 | 06 | ,NA
A03 | 07 | ,NA
A03 | 08 | ,NA
A03 | 09 | ,NA
A03b | 03B | ,NA
A04 | 01 | ,NA
A04 | 02 | ,NA
A04 | 03A | ,NA
A04 | 03B | ,NA
A04 | 04 | ,NA
A04 | 05 | ,NA
A04 | 06 | ,NA
A04 | 07 | ,NA
A04 | 08 | ,NA
A05 | 01 | ,NA
A05 | 02 | ,NA
A05 | 03 | ,NA
A05 | 03A | ,NA
A05 | 04 | ,NA
A05 | 05 | ,NA
A05 | 06 | ,NA
A05 | 07 | ,NA
A05 | 08 | ,NA
A06 |  | ,NA
A06 | 01 | ,NA
A06 | 0102 | ,NA
A06 | 010203 | ,NA
A06 | 02 | ,NA
A06 | 03 | ,NA
A06 | 03A | ,NA
A06 | 03B | ,NA
A06 | 04 | ,NA
A06 | 0407 | ,NA
A06 | 05 | ,NA
A06 | 06 | ,NA
A06 | 07 | ,NA
A06 | 08 | ,NA
A06 | 09 | ,NA
A07 | 01 | ,NA
A07 | 0102 | ,NA
A07 | 02 | ,NA
A07 | 03 | ,NA
A07 | 03A | ,NA
A07 | 03B | ,NA
A07 | 04 | ,NA
A07 | 05 | ,NA
A07 | 06 | ,NA
A07 | 07 | ,NA
A07 | 08 | ,NA
A07 | PIII | ,NA
A07 | UNPROV | ,NA
A08 | 01 | ,NA
A08 | 02 | ,NA
A08 | 03A | ,NA
A08 | 03B | ,NA
A08 | 04 | ,NA
A08 | 05 | ,NA
A08 | 06 | ,NA
A08 | 07 | ,NA
A08 | 08 | ,NA
A09 |  | ,NA
A09 | 01 | ,NA
A09 | 02 | ,NA
A09 | 03A | ,NA
A09 | 03B | ,NA
A09 | 04 | ,NA
A09 | 05 | ,NA
A09 | 05 | 045,NA
A09 | 06 | ,NA
A09 | 07 | ,NA
A09 | 08 | ,NA
A10 | 0102 | ,NA
A10 | 02 | ,NA
A10 | 0203 | ,NA
A10 | 03 | ,NA
A10 | 03A | ,NA
A10 | 03B | ,NA
A10 | 05 | ,NA
A10 | 06 | ,NA
A10 | 07 | ,NA
A10 | 08 | ,NA
A10 | 12 | ,NA
A11 |  | ,NA
A11 | 0102 | ,NA
A11 | 02 | ,NA
A11 | 03 | ,NA
A11 | 03A | ,NA
A11 | 03B | ,NA
A11 | 04 | ,NA
A11 | 05 | ,NA
A11 | 06 | ,NA
A11 | 07 | ,NA
A11 | 14 | ,NA
A12 |  | ,NA
A12 | 03 | ,NA
A12 | 03A | ,NA
A12 | 03B | ,NA
A12 | 04 | ,NA
A12 | 05 | ,NA
A12 | 06 | ,NA
A12 | 07 | ,NA
A12 | 08 | ,NA
A12 | 09 | ,NA
A13 |  | ,NA
A13 | 0102 | ,NA
A13 | 03A | ,NA
A13 | 03B | ,NA
A13 | 04 | ,NA
A13 | 05 | ,NA
A13 | 06 | ,NA
A13 | 07 | ,NA
A13 | 08 | ,NA
A13 | PIII | ,NA
A14 |  | ,NA
A14 | 01 | ,NA
A14 | 0102 | ,NA
A14 | 02 | ,NA
A14 | 03 | ,NA
A14 | 03A | ,NA
A14 | 04 | ,NA
A14 | 05 | ,NA
A14 | 06 | ,NA
A14 | 07 | ,NA
A14 | 08 | ,NA
A14 | 09 | ,NA
A15 | 03 | ,NA
A15 | 04 | ,NA
A15 | 05 | ,NA
A15 | 06 | ,NA
A15 | 07 | ,NA
A15 | 08 | ,NA
A16 |  | ,NA
A16 | 0102 | ,NA
A16 | 03 | ,NA
A16 | 03A | ,NA
A16 | 05 | ,NA
A16 | 06 | ,NA
A16 | 07 | ,NA
A16 | 08 | ,NA
A16 | 09 | ,NA
A17 | 03 | ,NA
A17 | 03A | ,NA
A17 | 04 | ,NA
A17 | 05 | ,NA
A17 | 06 | ,NA
A17 | 07 | ,NA
A17 | 08 | ,NA
A18 |  | ,NA
A18 | 03 | ,NA
A18 | 04 | ,NA
A18 | 05 | ,NA
A18 | 06 | ,NA
A18 | 07 | ,NA
A18 | 08 | ,NA
A19 | 01 | ,NA
A19 | 03 | ,NA
A19 | 03A | ,NA
A19 | 03B | ,NA
A19 | 04 | ,NA
A19 | 05 | ,NA
A19 | 06 | ,NA
A19 | 0708 | ,NA
A20 |  | ,NA
A20 | 03 | ,NA
A20 | 03B | ,NA
A20 | 04 | ,NA
A20 | 05 | ,NA
A20 | 07 | ,NA
A21 | 0102 | ,NA
A21 | 03 | ,NA
A21 | 04 | ,NA
A21 | 05 | ,NA
A21 | 07 | ,NA
A21 | 08 | ,NA
A22 | 01 | ,NA
A22 | 0102 | ,NA
A22 | 03 | ,NA
A22 | 04 | ,NA
A22 | 05 | ,NA
A22 | 06 | ,NA
A22 | 07 | ,NA
A22 | 0708 | ,NA
A22 | 08 | ,NA
A22 | UNPROV | ,NA
A22a |  | ,NA
A23 |  | ,NA
A23 | 0102 | ,NA
A23 | 03 | ,NA
A23 | 03B | ,NA
A23 | 04 | ,NA
A23 | 05 | ,NA
A23 | 06 | ,NA
A23 | 07 | ,NA
A23 | 08 | ,NA
A24 |  | ,NA
A24 | 0102 | ,NA
A24 | 03 | ,NA
A24 | 03A | ,NA
A24 | 04 | ,NA
A24 | 05 | ,NA
A24 | 07 | ,NA
A24 | 08 | ,NA
A25 |  | ,NA
A25 | 0102 | ,NA
A25 | 03 | ,NA
A25 | 04 | ,NA
A25 | 05 | ,NA
A25 | 0506 | ,NA
A25 | 06 | ,NA
A25 | 07 | ,NA
A28 | UNPROV | ,NA
AUNPROV | 02 | ,NA
B00 |  | ,NA
B00 | 01 | ,NA
B00 | 02 | ,NA
B00 | 03 | ,NA
B00 | 03A | ,NA
B00 | 03B | ,NA
B00 | 04 | ,NA
B00 | 05 | ,NA
B00 | 06 | ,NA
B00 | 07 | ,NA
B00 | 08 | ,NA
B00 | 21 | ,NA
B00 | UNPROV | ,NA
B01 |  | ,NA
B01 | 01 | ,NA
B01 | 0102 | ,NA
B01 | 02 | ,NA
B01 | 03 | ,NA
B01 | 03A | ,NA
B01 | 03B | ,NA
B01 | 04 | ,NA
B01 | 05 | ,NA
B01 | 06 | ,NA
B01 | 07 | ,NA
B02 |  | ,NA
B02 | 01 | ,NA
B02 | 0102 | ,NA
B02 | 02 | ,NA
B02 | 03 | ,NA
B02 | 03A | ,NA
B02 | 03B | ,NA
B02 | 04 | ,NA
B02 | 05 | ,NA
B02 | 06 | ,NA
B02 | 07 | ,NA
B02 | 08 | ,NA
B02 | PII | ,NA
B03 |  | ,NA
B03 | 01 | ,NA
B03 | 0102 | ,NA
B03 | 02 | ,NA
B03 | 03A | ,NA
B03 | 03B | ,NA
B03 | 04 | ,NA
B03 | 05 | ,NA
B03 | 06 | ,NA
B03 | 07 | ,NA
B03 | 08 | ,NA
B03 | 11 | ,NA
B04 |  | ,NA
B04 | 01 | ,NA
B04 | 0102 | ,NA
B04 | 02 | ,NA
B04 | 03A | ,NA
B04 | 03B | ,NA
B04 | 04 | ,NA
B04 | 05 | ,NA
B04 | 06 | ,NA
B04 | 07 | ,NA
B04 | 08 | ,NA
B04 | 09 | ,NA
B05 |  | ,NA
B05 | 01 | ,NA
B05 | 02 | ,NA
B05 | 03 | ,NA
B05 | 03A | ,NA
B05 | 03B | ,NA
B05 | 04 | ,NA
B05 | 05 | ,NA
B05 | 06 | ,NA
B05 | 07 | ,NA
B05 | 08 | ,NA
B05 | 14 | ,NA
B06 |  | ,NA
B06 | 0102 | ,NA
B06 | 03A | ,NA
B06 | 03B | ,NA
B06 | 04 | ,NA
B06 | 05 | ,NA
B06 | 06 | ,NA
B06 | 07 | ,NA
B06 | 08 | ,NA
B07 |  | ,NA
B07 | 01 | ,NA
B07 | 0102 | ,NA
B07 | 02 | ,NA
B07 | 03 | ,NA
B07 | 04 | ,NA
B07 | 05 | ,NA
B07 | 06 | ,NA
B07 | 07 | ,NA
B08 | 03A | ,NA
B08 | 03B | ,NA
B08 | 04 | ,NA
B08 | 05 | ,NA
B08 | 06 | ,NA
B08 | 07 | ,NA
B08 | 08 | ,NA
B09 |  | ,NA
B09 | 0102 | ,NA
B09 | 03A | ,NA
B09 | 03B | ,NA
B09 | 04 | ,NA
B09 | 05 | ,NA
B09 | 06 | ,NA
B09 | 07 | ,NA
B10 |  | ,NA
B10 | 01 | ,NA
B10 | 0102 | ,NA
B10 | 03A | ,NA
B10 | 04 | ,NA
B10 | 05 | ,NA
B10 | 06 | ,NA
B10 | 07 | ,NA
B10 | 08 | ,NA
B11 | 0102 | ,NA
B11 | 02 | ,NA
B11 | 0304 | ,NA
B11 | 03A | ,NA
B11 | 04 | ,NA
B11 | 0607 | ,NA
B12 |  | ,NA
B12 | 0102 | ,NA
B12 | 02 | ,NA
B12 | 03 | ,NA
B12 | 04 | ,NA
B12 | 05 | ,NA
B12 | 06 | ,NA
B12 | 07 | ,NA
B12 | 08 | ,NA
B12 | 09 | ,NA
B13 |  | ,NA
B13 | 0102 | ,NA
B13 | 03A | ,NA
B13 | 03B | ,NA
B13 | 04 | ,NA
B13 | 05 | ,NA
B13 | 06 | ,NA
B13 | 07 | ,NA
B13 | 08 | ,NA
B13 | 09 | ,NA
B13 | PIII | ,NA
B13 | UNPROV | ,NA
B13UNPROV |  | ,NA
B14 |  | ,NA
B14 | 01 | ,NA
B14 | 0102 | ,NA
B14 | 02 | ,NA
B14 | 03 | ,NA
B14 | 03A | ,NA
B14 | 03B | ,NA
B14 | 04 | ,NA
B14 | 05 | ,NA
B14 | 06 | ,NA
B14 | 07 | ,NA
B14 | 08 | ,NA
B14 | UNPROV | ,NA
B15 |  | ,NA
B15 | 0102 | ,NA
B15 | 03A | ,NA
B15 | 03B | ,NA
B15 | 04 | ,NA
B15 | 05 | ,NA
B15 | 06 | ,NA
B15 | 07 | ,NA
B15 | 08 | ,NA
B16 | 0102 | ,NA
B16 | 03 | ,NA
B16 | 03A | ,NA
B16 | 03B | ,NA
B16 | 04 | ,NA
B16 | 05 | ,NA
B16 | 06 | ,NA
B16 | 07 | ,NA
B16 | 08 | ,NA
B17 | 0102 | ,NA
B17 | 03A | ,NA
B17 | 03B | ,NA
B17 | 04 | ,NA
B17 | 05 | ,NA
B17 | 06 | ,NA
B17 | 07 | ,NA
B17 | 08 | ,NA
B18 | 0102 | ,NA
B18 | 03A | ,NA
B18 | 03B | ,NA
B18 | 04 | ,NA
B18 | 05 | ,NA
B18 | 06 | ,NA
B18 | 07 | ,NA
B18 | 08 | ,NA
B19 | 0102 | ,NA
B19 | 02 | ,NA
B19 | 03A | ,NA
B19 | 03B | ,NA
B19 | 04 | ,NA
B19 | 05 | ,NA
B19 | 06 | ,NA
B19 | 07 | ,NA
B19 | 08 | ,NA
B19 | UNPROV | ,NA
B20 |  | ,NA
B20 | 0102 | ,NA
B20 | 02 | ,NA
B20 | 03A | ,NA
B20 | 03B | ,NA
B20 | 04 | ,NA
B20 | 05 | ,NA
B20 | 06 | ,NA
B20 | 07 | ,NA
B20 | 08 | ,NA
B21 |  | ,NA
B21 | 01 | ,NA
B21 | 02 | ,NA
B21 | 03A | ,NA
B21 | 04 | ,NA
B21 | 04A | ,NA
B21 | 04B | ,NA
B21 | 05 | ,NA
B21 | 06 | ,NA
B21 | 07 | ,NA
B22 | 01 | ,NA
B22 | 02 | ,NA
B22 | 03 | ,NA
B22 | 04 | ,NA
B22 | 05 | ,NA
B22 | 06 | ,NA
B22 | 07 | ,NA
B22 | UNPROV | ,NA
B23 | 01 | ,NA
B23 | 0102 | ,NA
B23 | 0106 | ,NA
B23 | 0206 | ,NA
B23 | 03 | ,NA
B23 | 03A | ,NA
B23 | 03B | ,NA
B23 | 04 | ,NA
B23 | 05 | ,NA
B23 | 05A | ,NA
B23 | 06 | ,NA
B23 | 07 | ,NA
B24 | 03A | ,NA
B24 | 03B | ,NA
B24 | 04 | ,NA
B24 | 05 | ,NA
B24 | 06 | ,NA
B25 | 03 | ,NA
B25 | 06 | ,NA
C00 |  | ,NA
C00 | 01 | ,NA
C00 | 02 | ,NA
C00 | 05 | ,NA
C00 | UNPROV | ,NA
C01 | 01 | ,NA
C01 | 02 | ,NA
C02 |  | ,NA
C02 | 01 | ,NA
C02 | 02 | ,NA
C02 | UNPROV | ,NA
C03 | 01 | ,NA
C03 | 02 | ,NA
C04 |  | ,NA
C04 | 01 | ,NA
C04 | 02 | ,NA
D00 |  | ,NA
D00 | 03 | ,NA
D00 | 04 | ,NA
D00 | 05 | ,NA
D00 | 06 | ,NA
D00 | UNPROV | ,NA
D01 | 01 | ,NA
D01 | 04 | ,NA
D01 | 05 | ,NA
D02 |  | ,NA
D02 | 01 | ,NA
D02 | 02 | ,NA
D02 | 03 | ,NA
D02 | 04 | ,NA
D02 | 05 | ,NA
D02 | 07 | ,NA
D03 |  | ,NA
D03 | 01 | ,NA
D03 | 03 | ,NA
D03 | 04 | ,NA
D03 | 05 | ,NA
D04 |  | ,NA
D04 | 03A | ,NA
D04 | 04 | ,NA
D04 | 05 | ,NA
D05 |  | ,NA
D05 | 01 | ,NA
D05 | 02 | ,NA
D05 | 03 | ,NA
D05 | 04 | ,NA
D05 | 05 | ,NA
D05 | 06 | ,NA
D06 | 01 | ,NA
D06 | 02 | ,NA
D06 | 03 | ,NA
D06 | 04 | ,NA
D06 | 05 | ,NA
D06 | 06 | ,NA
D06 | 08 | ,NA
D07 |  | ,NA
D07 | 01 | ,NA
D07 | 0102 | ,NA
D07 | 02 | ,NA
D07 | 03 | ,NA
D07 | 04 | ,NA
D07 | 05 | ,NA
D08 | 01 | ,NA
D08 | 02 | ,NA
D08 | 03 | ,NA
D08 | 03A | ,NA
D08 | 04 | ,NA
D08 | 05 | ,NA
D09 |  | ,NA
D09 | 01 | ,NA
D09 | 0102 | ,NA
D09 | 02 | ,NA
D09 | 03 | ,NA
D09 | 04 | ,NA
D09 | 05 | ,NA
D09 | UNPROV | ,NA
D10 | 01 | ,NA
D10 | 02 | ,NA
D10 | 03 | ,NA
D10 | 04 | ,NA
D10 | 05 | ,NA
D10 | 08 | ,NA
D11 |  | ,NA
D11 | 01 | ,NA
D11 | 02 | ,NA
D11 | 03 | ,NA
D11 | 04 | ,NA
D11 | 05 | ,NA
D12 |  | ,NA
D12 | 01 | ,NA
D12 | 02 | ,NA
D12 | 03 | ,NA
D12 | 04 | ,NA
D12 | 05 | ,NA
D13 |  | ,NA
D13 | 04 | ,NA
D13 | 06 | ,NA
D14 |  | ,NA
D14 | 01 | ,NA
D14 | 02 | ,NA
D14 | 03 | ,NA
D14 | 03A | ,NA
D14 | 04 | ,NA
D14 | 05 | ,NA
D15 |  | ,NA
D15 | 05 | ,NA
D16 |  | ,NA
D16 | 01 | ,NA
D16 | 0102 | ,NA
D16 | 03 | ,NA
D16 | 05 | ,NA
D16 | 06 | ,NA
D20 | 04 | ,NA
D22 |  | ,NA
DUNPROV | 04 | ,NA
E00 |  | ,NA
E00 | 01 | ,NA
E00 | 0102 | ,NA
E00 | 03 | ,NA
E00 | 04 | ,NA
E00 | 05 | ,NA
E00 | 06 | ,NA
E00 | 07 | ,NA
E01 | 01 | ,NA
E01 | 0102 | ,NA
E01 | 02 | ,NA
E01 | 03 | ,NA
E01 | 04 | ,NA
E01 | 05 | ,NA
E01 | 06 | ,NA
E01 | 06N | ,NA
E01 | 07 | ,NA
E01 | 09 | ,NA
E02 |  | ,NA
E02 | 0102 | ,NA
E02 | 03 | ,NA
E02 | 04 | ,NA
E02 | 05 | ,NA
E02 | 06 | ,NA
E02 | 07 | ,NA
E02 | 08 | ,NA
E02 | 09 | ,NA
E03 |  | ,NA
E03 | 0102 | ,NA
E03 | 02 | ,NA
E03 | 03 | ,NA
E03 | 04 | ,NA
E03 | 05 | ,NA
E03 | 07 | ,NA
E03 | 09 | ,NA
E04 |  | ,NA
E04 | 0102 | ,NA
E04 | 03 | ,NA
E04 | 06 | ,NA
E04 | 07 | ,NA
E04 | 08 | ,NA
E04 | Floor | ,NA
E05 |  | ,NA
E05 | 0102 | ,NA
E05 | 0205 | ,NA
E05 | 0304 | ,NA
E05 | 0506 | ,NA
E05 | 05B | ,NA
E05 | 0708 | ,NA
E05 | 07A | ,NA
E05 | 07B | ,NA
E05 | 09 | ,NA
E06 |  | ,NA
E06 | 07 | ,NA
E07 |  | ,NA
GT |  | ,NA
GTW |  | ,NA
HWK00 |  | ,NA
HWK00 |  | 006,NA
HWK00 | 02 | ,NA
HWK00 | 07 | ,NA
HWK00 | SURF | ,NA
HWK00 | UNPROV | ,NA
HWK01 |  | ,NA
HWK01 | 01 | ,NA
HWK01 | 02 | ,NA
HWK01 | SURF | ,NA
HWK02 |  | ,NA
HWK02 | 01 | ,NA
HWK02 | 02 | ,NA
HWK02 | 03 | ,NA
HWK02 | 06 | ,NA
HWK02 | 08 | ,NA
HWK03 |  | ,NA
HWK03 | 01 | ,NA
HWK03 | 02 | ,NA
HWK03 | 03 | ,NA
HWK03 | 07 | ,NA
HWK04 | 01 | ,NA
HWK04 | 02 | ,NA
HWK04 | 03 | ,NA
HWK05 | 01 | ,NA
HWK05 | 02 | ,NA
HWK05 | 03 | ,NA
HWK06 | 01 | ,NA
HWK06 | 02 | ,NA
HWK06 | 03 | ,NA
HWK07 | 01 | ,NA
HWK07 | 02 | ,NA
HWK07 | 03 | ,NA
HWK08 |  | ,NA
HWK08 | 01 | ,NA
HWK08 | 02 | ,NA
HWK08 | 03 | ,NA
HWK09 |  | ,NA
HWK09 | 01 | ,NA
HWK09 | 02 | ,NA
HWK09 | 03 | ,NA
HWK10 | 01 | ,NA
HWK10 | 02 | ,NA
HWK10 | 03 | ,NA
HWK11 | 01 | ,NA
HWK11 | 02 | ,NA
HWK11 | 03 | ,NA
HWK12 | 01 | ,NA
HWK12 | 02 | ,NA
HWK12 | 03 | ,NA
HWK13 | 01 | ,NA
HWK13 | 02 | ,NA
HWK13 | 03 | ,NA
HWK14 | 01 | ,NA
HWK14 | 02 | ,NA
HWK14 | 03 | ,NA
HWK15 | 01 | ,NA
HWK15 | 02 | ,NA
HWK15 | 03 | ,NA
HWK15 | 07 | ,NA
HWK16 |  | ,NA
HWK16 | 01 | ,NA
HWK16 | 02 | ,NA
HWK16 | 03 | ,NA
HWK17 | 01 | ,NA
HWK17 | 02 | ,NA
HWK17 | 03 | ,NA
HWK17 | 05 | ,NA
HWK18 | 01 | ,NA
HWK18 | 02 | ,NA
HWK18 | 03 | ,NA
HWK19 | 01 | ,NA
HWK19 | 02 | ,NA
HWK19 | 03 | ,NA
HWK20 | 01 | ,NA
HWK20 | 02 | ,NA
HWK20 | 03 | ,NA
HWK21 | 01 | ,NA
HWK21 | 02 | ,NA
HWK21 | 03 | ,NA
HWK22 | 01 | ,NA
HWK22 | 02 | ,NA
HWK23 | 02 | ,NA
HWK23 | 03 | ,NA
HWKSURF |  | ,NA
HWKUNPROV |  | ,NA
HWN01 |  | ,NA
HWN01 | 01 | ,NA
HWN01 | 06 | ,NA
HWN01 | UNPROV | ,NA
HWN01B |  | ,NA
HWN01B | 07 | ,NA
HWN02 |  | ,NA
HWN02 | 01 | ,NA
HWN02 | 02 | ,NA
HWN02 | 03 | ,NA
HWN02 | 04 | ,NA
HWN02 | 05 | ,NA
HWN02 | 06 | ,NA
