"Phase","MCD","blueMCD","TPQ","TPQp95","TPQp90","Count"
"",1776.27905012429,1785.42439955599,1840,1830,1820,41437
"P01",1729.28631857237,1741.87407605,1840,1720,1720,7565
"P01B",1759.38679245283,1756.40288670691,1820,1820,1750,53
"P02",1751.27098540146,1772.83435948842,1840,1775,1762,548
"P02B",1771.70506912442,1777.14621017182,1840,1820,1820,217
"P03",1766.36057692308,1790.6211985582,1830,1775,1775,728
"P03B",1791.51149425287,1788.92714406123,1840,1820,1820,174
"P04",1790.71165001611,1795.34385456604,1840,1820,1775,6206
"P05",1834.42014742015,1806.96869902678,1840,1840,1820,407
