"","CONTEXT","Count"
"1010","E03 |  | ",22
"1011","E03 | 0102 | ",1
"1012","E03 | 02 | ",33
"1013","E03 | 03 | ",24
"1014","E03 | 04 | ",124
"1015","E03 | 05 | ",115
"1016","E03 | 07 | ",20
"1017","E03 | 09 | ",40
"1018","E04 |  | ",30
"1019","E04 | 0102 | ",13
"1020","E04 | 03 | ",5
"1021","E04 | 06 | ",4
"1022","E04 | 07 | ",19
"1023","E04 | 08 | ",3
"1024","E04 | Floor | ",5
"1025","E05 |  | ",7
"1026","E05 | 0102 | ",27
"1027","E05 | 0205 | ",1
"1028","E05 | 0304 | ",28
"1029","E05 | 0506 | ",13
"1030","E05 | 05B | ",1
"1031","E05 | 0708 | ",1
"1032","E05 | 07A | ",22
"1033","E05 | 07B | ",8
"1034","E05 | 09 | ",26
"1035","E06 |  | ",3
"1036","E06 | 07 | ",4
"1037","E07 |  | ",1
"1038","GT |  | ",11
"1039","GTW |  | ",7
"1040","HWK00 |  | ",61
"1041","HWK00 |  | 006",19
"1042","HWK00 | 02 | ",1
"1043","HWK00 | 07 | ",7
"1044","HWK00 | SURF | ",4
"1045","HWK00 | UNPROV | ",1
"1046","HWK01 |  | ",651
"1047","HWK01 | 01 | ",5
"1048","HWK01 | 02 | ",1
"1049","HWK01 | SURF | ",5
"1050","HWK02 |  | ",572
"1051","HWK02 | 01 | ",3
"1052","HWK02 | 02 | ",14
"1053","HWK02 | 03 | ",25
"1054","HWK02 | 06 | ",2
"1055","HWK02 | 08 | ",2
"1056","HWK03 |  | ",3
"1057","HWK03 | 01 | ",91
"1058","HWK03 | 02 | ",276
"1059","HWK03 | 03 | ",51
"1060","HWK03 | 07 | ",1
"1061","HWK04 | 01 | ",207
"1062","HWK04 | 02 | ",339
"1063","HWK04 | 03 | ",69
"1064","HWK05 | 01 | ",168
"1065","HWK05 | 02 | ",900
"1066","HWK05 | 03 | ",24
"1067","HWK06 | 01 | ",159
"1068","HWK06 | 02 | ",392
"1069","HWK06 | 03 | ",37
"1070","HWK07 | 01 | ",41
"1071","HWK07 | 02 | ",623
"1072","HWK07 | 03 | ",123
"1073","HWK08 |  | ",3
"1074","HWK08 | 01 | ",13
"1075","HWK08 | 02 | ",643
"1076","HWK08 | 03 | ",3
"1077","HWK09 |  | ",2
"1078","HWK09 | 01 | ",97
"1079","HWK09 | 02 | ",186
"1080","HWK09 | 03 | ",86
"1081","HWK10 | 01 | ",69
"1082","HWK10 | 02 | ",269
"1083","HWK10 | 03 | ",118
"1084","HWK11 | 01 | ",68
"1085","HWK11 | 02 | ",31
"1086","HWK11 | 03 | ",17
"1087","HWK12 | 01 | ",83
"1088","HWK12 | 02 | ",466
"1089","HWK12 | 03 | ",247
"1090","HWK13 | 01 | ",35
"1091","HWK13 | 02 | ",233
"1092","HWK13 | 03 | ",36
"1093","HWK14 | 01 | ",17
"1094","HWK14 | 02 | ",102
"1095","HWK14 | 03 | ",95
"1096","HWK15 | 01 | ",119
"1097","HWK15 | 02 | ",190
"1098","HWK15 | 03 | ",52
"1099","HWK15 | 07 | ",1
"1100","HWK16 |  | ",21
"1101","HWK16 | 01 | ",15
"1102","HWK16 | 02 | ",116
"1103","HWK16 | 03 | ",159
"1104","HWK17 | 01 | ",86
"1105","HWK17 | 02 | ",146
"1106","HWK17 | 03 | ",21
"1107","HWK17 | 05 | ",1
"1108","HWK18 | 01 | ",114
"1109","HWK18 | 02 | ",64
"1110","HWK18 | 03 | ",103
"1111","HWK19 | 01 | ",26
"1112","HWK19 | 02 | ",124
"1113","HWK19 | 03 | ",84
"1114","HWK20 | 01 | ",39
"1115","HWK20 | 02 | ",199
"1116","HWK20 | 03 | ",110
"1117","HWK21 | 01 | ",1
"1118","HWK21 | 02 | ",25
"1119","HWK21 | 03 | ",55
"1120","HWK22 | 01 | ",76
"1121","HWK22 | 02 | ",5
"1122","HWK23 | 02 | ",6
"1123","HWK23 | 03 | ",1
"1124","HWKSURF |  | ",12
"1125","HWKUNPROV |  | ",1298
"1126","HWN01 |  | ",2330
"1127","HWN01 | 01 | ",12
"1128","HWN01 | 06 | ",1
"1129","HWN01 | UNPROV | ",35
"1130","HWN01B |  | ",137
"1131","HWN01B | 07 | ",2
"1132","HWN02 |  | ",2
"1133","HWN02 | 01 | ",30
"1134","HWN02 | 02 | ",6
"1135","HWN02 | 03 | ",17
"1136","HWN02 | 04 | ",127
"1137","HWN02 | 05 | ",46
"1138","HWN02 | 06 | ",1043
"1139","HWN02 | 0607 | ",4
"1140","HWN02 | 07 | ",1597
"1141","HWN02 | 08 | ",1228
"1142","HWN02 | 09 | ",1252
"1143","HWN02 | 0910 | ",5
"1144","HWN02 | 10 | ",416
"1145","HWNUNPROV |  | ",9
"1146","HWNUNPROV | 01 | ",2
"1147","Trench I |  | ",1
"1148","UNPROV |  | ",1144
"1149","UNPROVSURF |  | ",2
