Unit,Level,Feature,8,7,6,5,4,Total Frag,Mean Bore,Binford Date,,,
A3,8,,,2,17,9,2,30,5.633333333,1716.318667,,,
A3,9,,,3,5,,,8,6.375,1687.9425,,,
A4,1,,,,1,,,1,6,1702.29,,,
A4,2,,,,2,4,1,7,5.142857143,1735.084286,,,
A4,3a,,,,11,4,,15,5.733333333,1712.492667,,,
A4,3b,,,2,12,10,5,29,5.379310345,1726.037586,,,
A4,4,,,,4,17,5,26,4.961538462,1742.021538,,,
A4,5,,,,,19,2,21,4.904761905,1744.19381,,,
A4,6,,,,10,12,,22,5.454545455,1723.159091,,,
A4,7,,,2,10,7,,19,5.736842105,1712.358421,,,
A4,8,,,1,4,1,,6,6,1702.29,,,
A5,1,,,,2,,,2,6,1702.29,,,
A5,2,,,1,6,5,1,13,5.538461538,1719.948462,,,
A5,3a,,,2,15,5,,22,5.863636364,1707.507273,,,
A5,4,,,1,3,3,,7,5.714285714,1713.221429,,,
A5,5,,1,,,26,,27,5.111111111,1736.298889,,,
A5,6,,,9,8,2,,19,6.368421053,1688.194211,,,
A5,7,,,1,10,11,1,23,5.47826087,1722.251739,,,
A5,8,,,3,21,2,,26,6.038461538,1700.818462,,,
A6,2,,,,,1,,1,5,1740.55,,,
A6,3a,,,,5,7,1,13,5.307692308,1728.777692,,,
A6,3b,,,3,10,5,,18,5.888888889,1706.541111,,,
A6,4,,,1,2,14,3,20,5.05,1738.637,CHECK A6 two pages,,
A6,5,,,4,8,15,2,29,5.482758621,1722.079655,,,
A6,6,,,,1,17,4,22,4.863636364,1745.767273,,,
A6,7,,,,8,8,1,17,5.411764706,1724.795882,,,
A6,8,,,3,21,5,,29,5.931034483,1704.928621,,,
A6,9,,,2,14,3,,19,5.947368421,1704.303684,,,
A7,2,,,,,2,,2,5,1740.55,,,
A7,3a,,,2,23,16,3,44,5.545454545,1719.680909,,,
A7,3b,,,,13,28,5,46,5.173913043,1733.896087,,,
A7,4,,,1,4,61,6,72,5,1740.55,,,
A7,5,,,,5,15,,20,5.25,1730.985,,,
A7,6,,,,3,20,,23,5.130434783,1735.559565,,,
A7,7,,,3,8,37,1,49,5.265306122,1730.399388,,,
A7,8,,,,5,2,,7,5.714285714,1713.221429,,,
A8,3a,,,2,7,1,,10,6.1,1698.464,,,
A8,3b,,,,2,1,,3,5.666666667,1715.043333,,,
A8,4,,,,1,6,2,9,4.888888889,1744.801111,,,
